"Date","Price","Open","High","Low","Change %"
"Feb 05, 2021","1.3733","1.3672","1.3742","1.3660","0.46%"
"Feb 04, 2021","1.3670","1.3646","1.3699","1.3566","0.19%"
"Feb 03, 2021","1.3644","1.3667","1.3685","1.3619","-0.15%"
"Feb 02, 2021","1.3665","1.3664","1.3712","1.3611","0.03%"
"Feb 01, 2021","1.3661","1.3713","1.3759","1.3656","-0.30%"
"Jan 29, 2021","1.3702","1.3721","1.3752","1.3657","-0.12%"
"Jan 28, 2021","1.3718","1.3688","1.3747","1.3629","0.23%"
"Jan 27, 2021","1.3686","1.3736","1.3761","1.3658","-0.34%"
"Jan 26, 2021","1.3733","1.3674","1.3745","1.3609","0.43%"
"Jan 25, 2021","1.3674","1.3680","1.3725","1.3649","-0.07%"
"Jan 22, 2021","1.3684","1.3733","1.3738","1.3635","-0.35%"
"Jan 21, 2021","1.3732","1.3655","1.3747","1.3650","0.58%"
"Jan 20, 2021","1.3653","1.3629","1.3720","1.3622","0.18%"
"Jan 19, 2021","1.3628","1.3587","1.3637","1.3572","0.32%"
"Jan 18, 2021","1.3584","1.3594","1.3599","1.3520","-0.01%"
"Jan 15, 2021","1.3586","1.3688","1.3700","1.3571","-0.74%"
"Jan 14, 2021","1.3687","1.3640","1.3711","1.3615","0.37%"
"Jan 13, 2021","1.3637","1.3667","1.3701","1.3612","-0.19%"
"Jan 12, 2021","1.3663","1.3521","1.3671","1.3504","1.10%"
"Jan 11, 2021","1.3514","1.3567","1.3568","1.3451","-0.36%"
"Jan 08, 2021","1.3563","1.3565","1.3636","1.3538","0.00%"
"Jan 07, 2021","1.3563","1.3608","1.3634","1.3532","-0.32%"
"Jan 06, 2021","1.3607","1.3626","1.3672","1.3539","-0.12%"
"Jan 05, 2021","1.3624","1.3572","1.3642","1.3554","0.41%"
"Jan 04, 2021","1.3569","1.3665","1.3705","1.3541","-0.75%"
"Jan 01, 2021","1.3671","1.3672","1.3683","1.3672","-0.01%"
"Dec 31, 2020","1.3673","1.3624","1.3687","1.3605","0.37%"
"Dec 30, 2020","1.3622","1.3503","1.3627","1.3493","0.90%"
"Dec 29, 2020","1.3500","1.3450","1.3524","1.3447","0.38%"
"Dec 28, 2020","1.3449","1.3546","1.3577","1.3429","-0.73%"
"Dec 25, 2020","1.3548","1.3557","1.3591","1.3550","-0.05%"
"Dec 24, 2020","1.3555","1.3496","1.3621","1.3489","0.47%"
"Dec 23, 2020","1.3492","1.3362","1.3572","1.3352","0.99%"
"Dec 22, 2020","1.3360","1.3465","1.3470","1.3304","-0.77%"
"Dec 21, 2020","1.3463","1.3475","1.3498","1.3189","-0.42%"
"Dec 18, 2020","1.3520","1.3586","1.3592","1.3471","-0.46%"
"Dec 17, 2020","1.3582","1.3510","1.3626","1.3494","0.56%"
"Dec 16, 2020","1.3507","1.3460","1.3554","1.3434","0.34%"
"Dec 15, 2020","1.3461","1.3323","1.3470","1.3280","1.04%"
"Dec 14, 2020","1.3322","1.3281","1.3447","1.3274","0.75%"
"Dec 11, 2020","1.3223","1.3296","1.3326","1.3134","-0.53%"
"Dec 10, 2020","1.3293","1.3403","1.3414","1.3246","-0.77%"
"Dec 09, 2020","1.3396","1.3355","1.3478","1.3350","0.32%"
"Dec 08, 2020","1.3353","1.3378","1.3393","1.3290","-0.17%"
"Dec 07, 2020","1.3376","1.3449","1.3449","1.3225","-0.45%"
"Dec 04, 2020","1.3437","1.3447","1.3541","1.3411","-0.11%"
"Dec 03, 2020","1.3452","1.3361","1.3500","1.3353","0.67%"
"Dec 02, 2020","1.3363","1.3423","1.3442","1.3287","-0.39%"
"Dec 01, 2020","1.3415","1.3325","1.3442","1.3314","0.71%"
"Nov 30, 2020","1.3321","1.3314","1.3386","1.3304","0.05%"
"Nov 27, 2020","1.3314","1.3356","1.3383","1.3288","-0.31%"
"Nov 26, 2020","1.3355","1.3376","1.3399","1.3321","-0.20%"
"Nov 25, 2020","1.3382","1.3362","1.3395","1.3304","0.19%"
"Nov 24, 2020","1.3356","1.3325","1.3382","1.3292","0.25%"
"Nov 23, 2020","1.3323","1.3274","1.3398","1.3263","0.31%"
"Nov 20, 2020","1.3282","1.3261","1.3297","1.3245","0.16%"
"Nov 19, 2020","1.3261","1.3275","1.3281","1.3196","-0.06%"
"Nov 18, 2020","1.3269","1.3244","1.3313","1.3242","0.21%"
"Nov 17, 2020","1.3241","1.3195","1.3274","1.3187","0.38%"
"Nov 16, 2020","1.3191","1.3179","1.3243","1.3162","0.04%"
"Nov 13, 2020","1.3186","1.3118","1.3203","1.3109","0.55%"
"Nov 12, 2020","1.3114","1.3222","1.3230","1.3105","-0.81%"
"Nov 11, 2020","1.3221","1.3270","1.3310","1.3189","-0.38%"
"Nov 10, 2020","1.3271","1.3166","1.3278","1.3155","0.82%"
"Nov 09, 2020","1.3163","1.3163","1.3209","1.3118","0.05%"
"Nov 06, 2020","1.3156","1.3144","1.3178","1.3092","0.11%"
"Nov 05, 2020","1.3142","1.2989","1.3155","1.2930","1.21%"
"Nov 04, 2020","1.2985","1.3060","1.3140","1.2914","-0.56%"
"Nov 03, 2020","1.3058","1.2916","1.3080","1.2903","1.13%"
"Nov 02, 2020","1.2912","1.2946","1.2954","1.2853","-0.22%"
"Oct 30, 2020","1.2941","1.2929","1.2989","1.2898","0.12%"
"Oct 29, 2020","1.2926","1.2983","1.3027","1.2881","-0.42%"
"Oct 28, 2020","1.2981","1.3046","1.3065","1.2917","-0.48%"
"Oct 27, 2020","1.3043","1.3019","1.3081","1.3001","0.15%"
"Oct 26, 2020","1.3023","1.3048","1.3075","1.2993","-0.13%"
"Oct 23, 2020","1.3040","1.3083","1.3125","1.3018","-0.31%"
"Oct 22, 2020","1.3081","1.3151","1.3155","1.3069","-0.48%"
"Oct 21, 2020","1.3144","1.2945","1.3178","1.2937","1.55%"
"Oct 20, 2020","1.2944","1.2952","1.2980","1.2910","-0.02%"
"Oct 19, 2020","1.2947","1.2915","1.3025","1.2889","0.26%"
"Oct 16, 2020","1.2913","1.2916","1.2963","1.2863","-0.01%"
"Oct 15, 2020","1.2914","1.3010","1.3031","1.2890","-0.75%"
"Oct 14, 2020","1.3011","1.2938","1.3066","1.2862","0.60%"
