"Date","Price","Open","High","Low","Change %"
"Nov 27, 2008","7.7514","7.7525","7.7552","7.7503","-0.02%"
"Nov 26, 2008","7.7532","7.7546","7.7576","7.7525","-0.02%"
"Nov 25, 2008","7.7551","7.7512","7.7583","7.7501","0.05%"
"Nov 24, 2008","7.7515","7.7500","7.7530","7.7498","0.01%"
"Nov 21, 2008","7.7506","7.7495","7.7523","7.7486","-0.00%"
"Nov 20, 2008","7.7507","7.7500","7.7510","7.7486","0.00%"
"Nov 19, 2008","7.7504","7.7499","7.7509","7.7486","0.00%"
"Nov 18, 2008","7.7503","7.7500","7.7511","7.7487","-0.00%"
"Nov 17, 2008","7.7505","7.7500","7.7510","7.7487","0.01%"
"Nov 14, 2008","7.7501","7.7504","7.7513","7.7486","-0.00%"
"Nov 13, 2008","7.7502","7.7510","7.7516","7.7486","-0.01%"
"Nov 12, 2008","7.7507","7.7501","7.7534","7.7487","0.01%"
"Nov 11, 2008","7.7502","7.7498","7.7507","7.7485","0.00%"
"Nov 10, 2008","7.7500","7.7497","7.7505","7.7486","-0.00%"
"Nov 07, 2008","7.7501","7.7494","7.7507","7.7486","0.00%"
"Nov 06, 2008","7.7501","7.7501","7.7519","7.7486","0.00%"
"Nov 05, 2008","7.7501","7.7497","7.7519","7.7487","0.00%"
"Nov 04, 2008","7.7500","7.7499","7.7510","7.7487","-0.00%"
"Nov 03, 2008","7.7501","7.7507","7.7521","7.7493","0.00%"
"Oct 31, 2008","7.7500","7.7503","7.7524","7.7494","-0.01%"
"Oct 30, 2008","7.7511","7.7512","7.7533","7.7496","-0.00%"
"Oct 29, 2008","7.7512","7.7529","7.7544","7.7503","-0.01%"
"Oct 28, 2008","7.7518","7.7510","7.7548","7.7494","-0.02%"
"Oct 27, 2008","7.7533","7.7519","7.7543","7.7491","0.00%"
"Oct 24, 2008","7.7533","7.7538","7.7560","7.7497","-0.01%"
"Oct 23, 2008","7.7540","7.7531","7.7570","7.7507","0.00%"
"Oct 22, 2008","7.7538","7.7531","7.7569","7.7510","0.01%"
"Oct 21, 2008","7.7533","7.7551","7.7578","7.7519","-0.02%"
"Oct 20, 2008","7.7551","7.7566","7.7614","7.7535","-0.00%"
"Oct 17, 2008","7.7552","7.7580","7.7607","7.7533","-0.02%"
"Oct 16, 2008","7.7566","7.7579","7.7602","7.7532","-0.02%"
"Oct 15, 2008","7.7580","7.7581","7.7644","7.7551","0.01%"
"Oct 14, 2008","7.7575","7.7592","7.7653","7.7560","-0.02%"
"Oct 13, 2008","7.7591","7.7603","7.7646","7.7555","-0.05%"
"Oct 10, 2008","7.7633","7.7615","7.7667","7.7531","0.01%"
"Oct 09, 2008","7.7628","7.7626","7.7696","7.7594","-0.04%"
"Oct 08, 2008","7.7660","7.7720","7.7731","7.7608","-0.08%"
"Oct 07, 2008","7.7725","7.7687","7.7749","7.7640","0.05%"
"Oct 06, 2008","7.7688","7.7710","7.7736","7.7646","-0.01%"
"Oct 03, 2008","7.7698","7.7715","7.7727","7.7669","-0.03%"
"Oct 02, 2008","7.7725","7.7681","7.7738","7.7659","0.05%"
"Oct 01, 2008","7.7685","7.7664","7.7701","7.7634","0.03%"
"Sep 30, 2008","7.7663","7.7640","7.7733","7.7613","0.06%"
"Sep 29, 2008","7.7614","7.7741","7.7773","7.7601","-0.20%"
"Sep 26, 2008","7.7766","7.7783","7.7843","7.7685","-0.03%"
"Sep 25, 2008","7.7789","7.7650","7.7797","7.7627","0.16%"
"Sep 24, 2008","7.7665","7.7592","7.7673","7.7579","0.10%"
"Sep 23, 2008","7.7586","7.7693","7.7715","7.7565","-0.13%"
"Sep 22, 2008","7.7687","7.7784","7.7807","7.7680","-0.12%"
"Sep 19, 2008","7.7778","7.7813","7.7861","7.7755","-0.04%"
"Sep 18, 2008","7.7813","7.7791","7.7841","7.7749","0.03%"
